timestamp,Q1-1_PwD-anger,Q1-2_PwD-disgust,Q1-3_PwD-fear,Q1-4_PwD-happiness,Q1-5_PwD-sadness,Q1-6_PwD-surprise,Q2-1_MeD-anger,Q2-2_MeD-disgust,Q2-3_MeD-fear,Q2-4_MeD-hapiness,Q2-5_MeD-sadness,Q2-6_MeD-surprise,Q3-1_OthND-anger,Q3-2_OthND-disgust,Q3-3_OthND-fear,Q3-4_OthND-happiness,Q3-5_OthND-sadness,Q3-6_OthND-surprise,Q4_privateD,Q5_jobD,age,gender
12/16/2023 16:28:16,2,2,1,2,3,3,4,3,2,2,1,3,2,3,1,2,2,1,4,4,44,male
12/16/2023 17:25:54,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,64,female
12/16/2023 18:19:06,2,4,4,1,3,1,4,4,4,0,4,4,2,2,2,2,2,2,4,4,36,male
12/16/2023 18:25:45,3,2,4,2,3,2,2,3,3,2,4,2,3,2,3,3,2,2,1,4,43,male
12/16/2023 19:31:52,2,2,2,2,1,2,3,3,4,2,3,3,2,2,2,1,2,2,4,0,55,female
12/16/2023 19:47:07,4,4,4,4,4,2,4,4,4,1,4,2,2,2,2,2,2,2,3,3,37,female
12/16/2023 20:04:45,0,2,4,2,2,4,4,4,4,0,2,4,2,2,2,1,3,2,4,1,58,male
12/16/2023 21:10:25,4,4,4,2,4,4,4,4,4,2,4,4,0,1,1,3,4,3,0,0,52,female
12/16/2023 21:21:23,3,4,4,2,3,2,2,3,4,2,4,3,2,2,2,2,2,2,4,0,61,female
12/16/2023 21:39:08,4,4,4,3,3,2,4,4,4,3,2,2,2,2,1,2,2,3,3,4,42,male
12/16/2023 23:11:51,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,3,1,2,2,1,68,female
12/17/2023 1:38:04,4,4,3,4,3,4,4,4,3,3,3,4,3,3,4,4,4,2,4,2,49,female
12/17/2023 2:17:10,4,3,3,3,3,3,2,3,2,3,2,2,3,3,2,2,2,3,3,1,53,female
12/17/2023 10:17:33,3,2,4,2,4,4,3,4,4,2,4,4,2,2,2,2,2,2,3,3,41,male
12/17/2023 13:13:58,2,2,3,2,2,2,3,2,3,3,2,1,2,2,1,2,1,2,3,1,48,female
12/17/2023 13:23:46,3,3,4,1,3,1,4,2,4,2,4,2,3,2,1,2,1,1,1,1,48,male
